target,fold,original_sample_count_by_feature_set,common_comparison_sample_count,timestamps_removed_by_intersection,first_comparison_timestamp,last_comparison_timestamp
load,F05,"{""E_full"": 6384, ""B_lags_only"": 6384}",6384,0,2020-01-09 00:00:00,2020-09-30 23:00:00
load,F06,"{""E_full"": 7128, ""B_lags_only"": 7128}",7128,0,2020-01-09 00:00:00,2020-10-31 23:00:00
wind,F05,"{""E_full"": 6384, ""B_lags_only"": 6384}",6384,0,2020-01-09 00:00:00,2020-09-30 23:00:00
wind,F06,"{""E_full"": 7128, ""B_lags_only"": 7128}",7128,0,2020-01-09 00:00:00,2020-10-31 23:00:00
pv,F05,"{""E_full"": 6384, ""B_lags_only"": 6384}",6384,0,2020-01-09 00:00:00,2020-09-30 23:00:00
pv,F06,"{""E_full"": 7128, ""B_lags_only"": 7128}",7128,0,2020-01-09 00:00:00,2020-10-31 23:00:00
