experiment_id,target,horizon,model,fold,seed,train_samples,validation_samples,training_seconds,prediction_seconds,negative_prediction_count,negative_prediction_percentage,complexity,hyperparameters
LOAD-H1-RANDOM_FOREST-FULLV1-S42-F02,load,1,random_forest,F02,42,3479,720,0.20969879999756813,0.039118300017435104,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S123-F02,load,1,random_forest,F02,123,3479,720,0.2622037000255659,0.041173099947627634,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2020-F02,load,1,random_forest,F02,2020,3479,720,0.2265469000558369,0.04600850003771484,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2025-F02,load,1,random_forest,F02,2025,3479,720,0.2338262999546714,0.04010690003633499,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S31415-F02,load,1,random_forest,F02,31415,3479,720,0.19072850001975894,0.0395213000010699,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S42-F02,load,1,extra_trees,F02,42,3479,720,0.12282530002994463,0.03936609998345375,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S123-F02,load,1,extra_trees,F02,123,3479,720,0.10145190003095195,0.04063760000281036,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S2020-F02,load,1,extra_trees,F02,2020,3479,720,0.11995050002587959,0.04156199999852106,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S2025-F02,load,1,extra_trees,F02,2025,3479,720,0.14379960001679137,0.04206999996677041,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S31415-F02,load,1,extra_trees,F02,31415,3479,720,0.1050993999815546,0.03918289998546243,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
