target,horizon,model,fold,seed,MAE
pv,1,extra_trees,F01,42,30.615997922694984
pv,1,extra_trees,F01,123,30.588617963290684
pv,1,extra_trees,F01,2020,31.533348508687435
pv,1,extra_trees,F01,2025,31.205025498333054
pv,1,extra_trees,F01,31415,31.406400838763588
pv,1,extra_trees,F02,42,22.418439933463084
pv,1,extra_trees,F02,123,20.635197178869706
pv,1,extra_trees,F02,2020,21.261636542705066
pv,1,extra_trees,F02,2025,21.22065767085433
pv,1,extra_trees,F02,31415,21.753075910104112
pv,1,extra_trees,F03,42,24.834170330958763
pv,1,extra_trees,F03,123,24.177562413754938
pv,1,extra_trees,F03,2020,24.88785999592109
pv,1,extra_trees,F03,2025,24.32389787790941
pv,1,extra_trees,F03,31415,25.33846912259981
pv,1,extra_trees,F04,42,18.230114383015277
pv,1,extra_trees,F04,123,18.2934495163022
pv,1,extra_trees,F04,2020,17.11800176204399
pv,1,extra_trees,F04,2025,18.145939041353106
pv,1,extra_trees,F04,31415,16.808780814323896
pv,1,extra_trees,F05,42,23.990444467612885
pv,1,extra_trees,F05,123,24.072749543621725
pv,1,extra_trees,F05,2020,22.489903076905364
pv,1,extra_trees,F05,2025,23.836177382162962
pv,1,extra_trees,F05,31415,23.168180267708877
pv,1,extra_trees,F06,42,31.2713477630184
pv,1,extra_trees,F06,123,31.304231009233895
pv,1,extra_trees,F06,2020,30.414999678156075
pv,1,extra_trees,F06,2025,31.63092874396867
pv,1,extra_trees,F06,31415,32.06591719049439
pv,1,random_forest,F01,42,31.530119472345824
pv,1,random_forest,F01,123,31.352580041686714
pv,1,random_forest,F01,2020,32.331456111012564
pv,1,random_forest,F01,2025,31.56850902757574
pv,1,random_forest,F01,31415,32.82496346045318
pv,1,random_forest,F02,42,25.786435746449424
pv,1,random_forest,F02,123,24.62527931357083
pv,1,random_forest,F02,2020,27.01653613434212
pv,1,random_forest,F02,2025,24.859436507963952
pv,1,random_forest,F02,31415,26.690431823919365
pv,1,random_forest,F03,42,30.064034572101097
pv,1,random_forest,F03,123,30.469517283219403
pv,1,random_forest,F03,2020,30.943314425536407
pv,1,random_forest,F03,2025,29.031375870025425
pv,1,random_forest,F03,31415,29.93185053335997
pv,1,random_forest,F04,42,18.74080173050372
pv,1,random_forest,F04,123,18.121627312956907
pv,1,random_forest,F04,2020,19.250661205668685
pv,1,random_forest,F04,2025,17.59594274992752
pv,1,random_forest,F04,31415,17.250370432790575
pv,1,random_forest,F05,42,23.828683281190596
pv,1,random_forest,F05,123,23.072154353537467
pv,1,random_forest,F05,2020,22.796627786307116
pv,1,random_forest,F05,2025,23.598014433788382
pv,1,random_forest,F05,31415,22.475072173398495
pv,1,random_forest,F06,42,28.16562482241273
pv,1,random_forest,F06,123,27.764526928707234
pv,1,random_forest,F06,2020,28.434989986356495
pv,1,random_forest,F06,2025,27.90456263230934
pv,1,random_forest,F06,31415,28.766032525152447
pv,24,extra_trees,F01,42,63.097440217304445
pv,24,extra_trees,F01,123,68.91360055019233
pv,24,extra_trees,F01,2020,65.97433360078084
pv,24,extra_trees,F01,2025,68.36311166779886
pv,24,extra_trees,F01,31415,64.8677194250599
pv,24,extra_trees,F02,42,49.2960988916612
pv,24,extra_trees,F02,123,50.82081538786683
pv,24,extra_trees,F02,2020,51.31073266447028
pv,24,extra_trees,F02,2025,51.32986201183449
pv,24,extra_trees,F02,31415,50.15389812391942
pv,24,extra_trees,F03,42,43.10397443548291
pv,24,extra_trees,F03,123,42.47887595327052
pv,24,extra_trees,F03,2020,45.15597826566129
pv,24,extra_trees,F03,2025,45.88027619189556
pv,24,extra_trees,F03,31415,43.11822441421731
pv,24,extra_trees,F04,42,30.437328411646636
pv,24,extra_trees,F04,123,30.66156442391165
pv,24,extra_trees,F04,2020,30.571798882828926
pv,24,extra_trees,F04,2025,31.285621038695318
pv,24,extra_trees,F04,31415,30.31967885184707
pv,24,extra_trees,F05,42,30.902807568525784
pv,24,extra_trees,F05,123,32.07486615655522
pv,24,extra_trees,F05,2020,31.53986291189221
pv,24,extra_trees,F05,2025,32.77184916545321
pv,24,extra_trees,F05,31415,29.421406377130083
pv,24,extra_trees,F06,42,46.69920925857522
pv,24,extra_trees,F06,123,46.62259132223632
pv,24,extra_trees,F06,2020,47.38542135683668
pv,24,extra_trees,F06,2025,46.47687590720917
pv,24,extra_trees,F06,31415,47.811040507256834
pv,24,random_forest,F01,42,99.83810875519241
pv,24,random_forest,F01,123,94.73694246313036
pv,24,random_forest,F01,2020,98.57165951312547
pv,24,random_forest,F01,2025,95.55037324282337
pv,24,random_forest,F01,31415,93.09426524901583
pv,24,random_forest,F02,42,52.04616869506013
pv,24,random_forest,F02,123,50.927685270350516
pv,24,random_forest,F02,2020,52.01108190414361
pv,24,random_forest,F02,2025,53.84774113295028
pv,24,random_forest,F02,31415,51.738030285069996
pv,24,random_forest,F03,42,51.059557395404255
pv,24,random_forest,F03,123,49.84013320624988
pv,24,random_forest,F03,2020,52.309567463726516
pv,24,random_forest,F03,2025,50.108837552603575
pv,24,random_forest,F03,31415,52.16559149587284
pv,24,random_forest,F04,42,29.34309029369412
pv,24,random_forest,F04,123,30.441712537140432
pv,24,random_forest,F04,2020,31.49879068347249
pv,24,random_forest,F04,2025,31.600664693114165
pv,24,random_forest,F04,31415,27.984187042246273
pv,24,random_forest,F05,42,28.979270949706088
pv,24,random_forest,F05,123,28.79639006699389
pv,24,random_forest,F05,2020,30.010209988774392
pv,24,random_forest,F05,2025,30.208561349313783
pv,24,random_forest,F05,31415,28.773879752348734
pv,24,random_forest,F06,42,43.6657357255564
pv,24,random_forest,F06,123,44.08971407968056
pv,24,random_forest,F06,2020,44.05215138271375
pv,24,random_forest,F06,2025,44.54137203606026
pv,24,random_forest,F06,31415,44.18470159906457
wind,1,extra_trees,F01,42,87.90702487059761
wind,1,extra_trees,F01,123,87.94145048103118
wind,1,extra_trees,F01,2020,88.14033750974839
wind,1,extra_trees,F01,2025,89.05621298264103
wind,1,extra_trees,F01,31415,89.88713865937284
wind,1,extra_trees,F02,42,74.66020448482139
wind,1,extra_trees,F02,123,76.72732596612863
wind,1,extra_trees,F02,2020,76.09314203822413
wind,1,extra_trees,F02,2025,75.9887973594207
wind,1,extra_trees,F02,31415,75.14111677790349
wind,1,extra_trees,F03,42,63.31810816557149
wind,1,extra_trees,F03,123,64.1901954171558
wind,1,extra_trees,F03,2020,64.09002799951355
wind,1,extra_trees,F03,2025,63.60205770289043
wind,1,extra_trees,F03,31415,63.988451570421134
wind,1,extra_trees,F04,42,62.322728291869396
wind,1,extra_trees,F04,123,62.16822504718867
wind,1,extra_trees,F04,2020,61.54451198269283
wind,1,extra_trees,F04,2025,63.03262227675101
wind,1,extra_trees,F04,31415,62.616927113649425
wind,1,extra_trees,F05,42,65.96417697045757
wind,1,extra_trees,F05,123,67.18679421732907
wind,1,extra_trees,F05,2020,67.47340451661141
wind,1,extra_trees,F05,2025,68.58264273574638
wind,1,extra_trees,F05,31415,66.9918962566682
wind,1,extra_trees,F06,42,77.7344395300878
wind,1,extra_trees,F06,123,78.19546372143438
wind,1,extra_trees,F06,2020,77.95514106454489
wind,1,extra_trees,F06,2025,76.7732209449871
wind,1,extra_trees,F06,31415,78.28283995017328
wind,1,random_forest,F01,42,90.2628581149803
wind,1,random_forest,F01,123,90.10932911619332
wind,1,random_forest,F01,2020,89.89338704305682
wind,1,random_forest,F01,2025,90.41360221562108
wind,1,random_forest,F01,31415,91.38674675592861
wind,1,random_forest,F02,42,80.05466907463962
wind,1,random_forest,F02,123,80.51770491791208
wind,1,random_forest,F02,2020,81.05917229761143
wind,1,random_forest,F02,2025,79.29405681395738
wind,1,random_forest,F02,31415,79.58769631977572
wind,1,random_forest,F03,42,64.95867076675628
wind,1,random_forest,F03,123,66.37244461986839
wind,1,random_forest,F03,2020,65.46485812220646
wind,1,random_forest,F03,2025,65.24965440664322
wind,1,random_forest,F03,31415,65.98037636320853
wind,1,random_forest,F04,42,66.5176032852009
wind,1,random_forest,F04,123,67.59059440248835
wind,1,random_forest,F04,2020,66.41407768473118
wind,1,random_forest,F04,2025,68.92673962940934
wind,1,random_forest,F04,31415,67.67113923658036
wind,1,random_forest,F05,42,69.18364102964459
wind,1,random_forest,F05,123,70.09060724893772
wind,1,random_forest,F05,2020,69.43268756240505
wind,1,random_forest,F05,2025,70.91481204067576
wind,1,random_forest,F05,31415,69.22604821369762
wind,1,random_forest,F06,42,80.8855696530921
wind,1,random_forest,F06,123,80.82694887641172
wind,1,random_forest,F06,2020,82.55341032514849
wind,1,random_forest,F06,2025,81.8949964594384
wind,1,random_forest,F06,31415,81.53709440488855
wind,24,extra_trees,F01,42,491.7762506634995
wind,24,extra_trees,F01,123,492.9533897625409
wind,24,extra_trees,F01,2020,496.9641306114341
wind,24,extra_trees,F01,2025,500.65558669894614
wind,24,extra_trees,F01,31415,489.75040122207514
wind,24,extra_trees,F02,42,794.8950651312716
wind,24,extra_trees,F02,123,802.1646899320982
wind,24,extra_trees,F02,2020,796.3590615926549
wind,24,extra_trees,F02,2025,807.8035396427427
wind,24,extra_trees,F02,31415,742.6226445876543
wind,24,extra_trees,F03,42,325.13082060862996
wind,24,extra_trees,F03,123,352.3801329941165
wind,24,extra_trees,F03,2020,335.0728199516149
wind,24,extra_trees,F03,2025,333.12973667344346
wind,24,extra_trees,F03,31415,322.1141775364939
wind,24,extra_trees,F04,42,437.3056613773609
wind,24,extra_trees,F04,123,441.1098827832844
wind,24,extra_trees,F04,2020,431.0207448201923
wind,24,extra_trees,F04,2025,440.28218368400394
wind,24,extra_trees,F04,31415,409.7373066177271
wind,24,extra_trees,F05,42,541.5887403388502
wind,24,extra_trees,F05,123,561.3629979163803
wind,24,extra_trees,F05,2020,534.086541423879
wind,24,extra_trees,F05,2025,541.6882632664775
wind,24,extra_trees,F05,31415,555.3912176896354
wind,24,extra_trees,F06,42,534.2126312321178
wind,24,extra_trees,F06,123,520.3714007064227
wind,24,extra_trees,F06,2020,523.8671941734478
wind,24,extra_trees,F06,2025,553.9621702223595
wind,24,extra_trees,F06,31415,543.5579382163932
wind,24,random_forest,F01,42,497.6220829302057
wind,24,random_forest,F01,123,490.4040432038229
wind,24,random_forest,F01,2020,488.215815484501
wind,24,random_forest,F01,2025,497.13628668933217
wind,24,random_forest,F01,31415,488.5681702058426
wind,24,random_forest,F02,42,1164.4804481472083
wind,24,random_forest,F02,123,1029.1514172858053
wind,24,random_forest,F02,2020,1160.396696894077
wind,24,random_forest,F02,2025,1100.463250463848
wind,24,random_forest,F02,31415,1106.8645897612407
wind,24,random_forest,F03,42,364.36966417782935
wind,24,random_forest,F03,123,359.23095118356093
wind,24,random_forest,F03,2020,363.35554224376165
wind,24,random_forest,F03,2025,359.95929506100845
wind,24,random_forest,F03,31415,379.21710319661395
wind,24,random_forest,F04,42,519.3118492275999
wind,24,random_forest,F04,123,517.7786092570493
wind,24,random_forest,F04,2020,541.210094046108
wind,24,random_forest,F04,2025,524.9404758884307
wind,24,random_forest,F04,31415,509.96420778890024
wind,24,random_forest,F05,42,515.9268122925153
wind,24,random_forest,F05,123,524.9300388563065
wind,24,random_forest,F05,2020,523.1532136754606
wind,24,random_forest,F05,2025,518.665887083061
wind,24,random_forest,F05,31415,521.2823828690745
wind,24,random_forest,F06,42,554.6307439579974
wind,24,random_forest,F06,123,571.2307713464604
wind,24,random_forest,F06,2020,577.5352893533137
wind,24,random_forest,F06,2025,563.7597992070565
wind,24,random_forest,F06,31415,554.6891469502035
