target,horizon,model,dimension,slice,samples,MAE
pv,24,random_forest,hour,12,184,102.16364576625001
pv,24,random_forest,hour,13,184,100.8054287244602
pv,24,random_forest,hour,14,184,98.41770204420685
pv,24,random_forest,hour,15,184,108.78237609499256
pv,24,random_forest,hour,16,184,97.5097978983546
pv,24,random_forest,hour,17,184,56.37938103689345
pv,24,random_forest,hour,18,184,16.295900946986944
pv,24,random_forest,hour,19,184,0.0017639093744821063
pv,24,random_forest,hour,20,184,7.706537146057544e-05
pv,24,random_forest,hour,21,184,7.706537146057544e-05
pv,24,random_forest,hour,22,184,7.018131348956094e-05
pv,24,random_forest,hour,23,184,7.018131348956094e-05
pv,24,random_forest,month,6,720,51.71531052869212
pv,24,random_forest,month,7,744,50.62812675271097
pv,24,random_forest,month,8,744,29.926219485151403
pv,24,random_forest,month,9,720,29.16135376613463
pv,24,random_forest,month,10,744,43.775491670722545
pv,24,extra_trees,hour,0,184,0.004748233300615754
pv,24,extra_trees,month,5,744,65.83613754665198
pv,24,extra_trees,output_quartile,low_output,1875,0.1576760258405706
pv,24,extra_trees,target_condition,nighttime_zero,1875,0.1576760258405706
pv,24,extra_trees,hour,1,184,0.004771802457272025
pv,24,extra_trees,hour,2,184,0.004859438977955908
pv,24,extra_trees,hour,3,184,0.005228431463675485
pv,24,extra_trees,hour,4,184,1.019070471789844
pv,24,extra_trees,hour,5,184,30.50830692903644
pv,24,extra_trees,output_quartile,middle_output,1437,80.02434395149383
pv,24,extra_trees,target_condition,middle_output,1437,80.02434395149383
pv,24,extra_trees,hour,6,184,69.47232254865112
pv,24,extra_trees,hour,7,184,96.67387522035742
pv,24,extra_trees,hour,8,184,96.50404947376217
pv,24,extra_trees,output_quartile,high_output,1104,74.03563521751622
pv,24,extra_trees,target_condition,high_output_q4,1104,74.03563521751622
pv,24,extra_trees,hour,9,184,80.98398453244674
pv,24,extra_trees,hour,10,184,84.07717916763268
pv,24,extra_trees,hour,11,184,86.84627695303836
pv,24,extra_trees,hour,12,184,83.99816973118408
pv,24,extra_trees,hour,13,184,82.71183567878994
pv,24,extra_trees,hour,14,184,89.65995546951514
pv,24,extra_trees,hour,15,184,97.90832467697008
pv,24,extra_trees,hour,16,184,98.31985235003008
pv,24,extra_trees,hour,17,184,55.353089930067426
pv,24,extra_trees,hour,18,184,16.695929167534832
pv,24,extra_trees,hour,19,184,0.02227228216320638
pv,24,extra_trees,hour,20,184,0.004958233008567831
pv,24,extra_trees,hour,21,184,0.004746592817378638
pv,24,extra_trees,hour,22,184,0.004742801638914696
pv,24,extra_trees,hour,23,184,0.004743833831307251
pv,24,extra_trees,month,6,720,50.15905864244487
pv,24,extra_trees,month,7,744,43.30859483285565
pv,24,extra_trees,month,8,744,30.41225414883812
pv,24,extra_trees,month,9,720,31.02354748068755
pv,24,extra_trees,month,10,744,46.6990479854046
pv,24,hist_gradient_boosting,hour,0,184,10.058308976803717
pv,24,hist_gradient_boosting,month,5,744,100.5368298653235
pv,24,hist_gradient_boosting,output_quartile,low_output,1875,10.098640626173458
pv,24,hist_gradient_boosting,target_condition,nighttime_zero,1875,10.098640626173458
pv,24,hist_gradient_boosting,hour,1,184,9.866018958234775
pv,24,hist_gradient_boosting,hour,2,184,9.799596843682135
pv,24,hist_gradient_boosting,hour,3,184,9.742303554840756
pv,24,hist_gradient_boosting,hour,4,184,10.096884998862267
pv,24,hist_gradient_boosting,hour,5,184,31.02825235097982
pv,24,hist_gradient_boosting,output_quartile,middle_output,1437,97.08125896395018
pv,24,hist_gradient_boosting,target_condition,middle_output,1437,97.08125896395018
pv,24,hist_gradient_boosting,hour,6,184,87.45265202253694
pv,24,hist_gradient_boosting,hour,7,184,104.07239666812862
pv,24,hist_gradient_boosting,hour,8,184,117.83636208503474
pv,24,hist_gradient_boosting,output_quartile,high_output,1104,103.81723451361007
