target,horizon,track,model,sequence_length,MAE,RMSE,sMAPE,nMAE,nRMSE,std_across_seeds_MAE,samples
load,1,sequence,gru,168,951.8756599416142,1237.8398760486443,20.34382993843878,0.20286887348453875,0.26381510923772605,0.0,4416
load,1,sequence,lstm,168,974.1674949428717,1227.0696477700917,20.852689754928793,0.20761982956517402,0.26151970011026154,0.0,4416
load,1,tabular,mlp,N/A,119.27528094635227,170.81948156677433,2.5824368669566,0.02542059104822846,0.0364059690283393,0.0,4416
load,24,sequence,gru,168,938.133906900946,1219.4963185794425,20.01444434176399,0.1999401569762985,0.2599056313551798,61.24031113046886,4416
load,24,sequence,lstm,168,993.7425932828959,1281.8308469839458,21.32538457195212,0.2117917800789978,0.2731907021777568,39.304909844426,4416
load,24,tabular,mlp,N/A,296.78566149749656,374.77268365121665,6.471642908963901,0.06325256054772303,0.07987357524171089,10.333532107636131,4416
pv,1,sequence,gru,168,400.43860515880124,438.6446009755288,130.8386830393329,0.905388498207172,0.9917719505751041,0.0,4416
pv,1,sequence,lstm,168,451.67459606456293,479.2604954685523,124.29634883412649,1.0212326657342459,1.083604164663944,0.0,4416
pv,1,tabular,mlp,N/A,48.73192812440476,68.46631955875135,98.21687053312436,0.1101825015143022,0.15480180343373112,0.0,4416
pv,24,sequence,gru,168,377.84007209994365,404.7077243512421,124.3962857735764,0.8542933948773365,0.9150409427130625,19.585042727517642,4416
pv,24,sequence,lstm,168,422.99168524327484,452.5164709116149,128.35848636770334,0.9563808327237954,1.0231361380609174,33.95085005173828,4416
pv,24,tabular,mlp,N/A,49.58112992779645,82.66530420786572,96.71589014529313,0.11210254003092503,0.18690559468140622,3.7748488323252323,4416
wind,1,sequence,gru,168,462.823608285563,541.4571024058062,100.73353179283028,0.8919264323991213,1.0434642766710414,0.0,4416
wind,1,sequence,lstm,168,564.9410135969448,627.3589158299259,105.6860750253219,1.0887210888831063,1.2090091983482356,0.0,4416
wind,1,tabular,mlp,N/A,95.55222636651301,137.6394616562048,47.62180952245065,0.18414262981652585,0.26525067389520157,0.0,4416
wind,24,sequence,gru,168,539.5956804063586,617.6049741645119,106.72359948165064,1.0398770536914128,1.1902119757439513,30.822633123612082,4416
wind,24,sequence,lstm,168,555.069472957003,626.8758344446393,106.98900173096101,1.0696972364528436,1.208078232319659,17.459731614633608,4416
wind,24,tabular,mlp,N/A,486.6729999095345,594.5004985979839,102.3510703621194,0.9378875770020422,1.1456863895474254,27.12258352733075,4416
