run_id,evidence_status,target,model,framework,implementation_id,feature_set,feature_count,fold,seed,training_seconds,prediction_seconds,epochs,MAE,RMSE,sMAPE,nMAE,nRMSE
P10-load-mlp-A_calendar_only-F04-S2025,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F04,2025,0.15113799999926414,0.0,12,1043.0247,1346.472753159157,19.890724,0.19718558,0.254552950806778
P10-load-mlp-A_calendar_only-F04-S31415,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,A_calendar_only,6,F04,31415,0.15479549999963638,0.0,12,1058.8352,1365.8131277740745,20.252766,0.20017458,0.25820928133139115
P10-load-mlp-C_calendar_lags-F04-S42,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F04,42,0.1624695000000429,0.0,12,863.29645,1120.6529904479798,16.09105,0.16320765,0.21186134281564184
P10-load-mlp-C_calendar_lags-F04-S123,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F04,123,0.16485929999998916,0.0,12,585.0091,751.5870292254916,10.765073,0.11059696,0.14208879877336408
P10-load-mlp-C_calendar_lags-F04-S2020,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F04,2020,0.16115790000003472,0.0,12,794.6125,1010.5637659247436,14.783635,0.15022284,0.1910487887638279
P10-load-mlp-C_calendar_lags-F04-S2025,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F04,2025,0.16119049999997515,0.0,12,797.6668,1041.6413730262445,14.734514,0.15080026,0.19692406293713724
P10-load-mlp-C_calendar_lags-F04-S31415,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F04,31415,0.15866000000005442,0.0,12,670.78516,883.4513285971107,12.339219,0.12681307,0.16701796754589127
P10-load-mlp-E_full-F04-S42,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F04,42,0.16040139999950043,0.0,12,649.26825,874.4278486530493,11.789704,0.12274526,0.16531206340418667
P10-load-mlp-E_full-F04-S123,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F04,123,0.15036369999961607,0.0,12,638.06775,844.0228447737655,11.596845,0.12062779,0.15956394600737786
P10-load-mlp-E_full-F04-S2020,VALID,load,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F04,2020,0.13258179999957065,0.0,12,1049.6342,1358.9096732307119,20.025333,0.19843511,0.25690417157655177
