target,horizon,model,seed,MAE,RMSE,sMAPE,nMAE,nRMSE
load,1,gru,42,951.8756599416142,1237.8398760486443,20.34382993843878,0.20286887348453875,0.26381510923772605
load,1,lstm,42,974.1674949428717,1227.0696477700917,20.852689754928793,0.20761982956517402,0.26151970011026154
load,1,mlp,42,119.27528094635227,170.81948156677433,2.5824368669566,0.02542059104822846,0.0364059690283393
load,24,gru,42,941.7014237015167,1225.9836909952808,20.101960180348712,0.20070048539410185,0.261288255146565
load,24,gru,123,1050.559801785706,1355.1531903917798,22.750241150747037,0.22390096993285774,0.28881755538388476
load,24,gru,2020,921.7139668629708,1181.3664102917014,19.659820101542042,0.19644065081349565,0.2517791796914433
load,24,gru,2025,862.6536775054514,1134.6018451188845,18.223381398429236,0.18385340347242404,0.24181246339134843
load,24,gru,31415,962.7922362499966,1234.4339823638027,20.589919695115537,0.205195473093279,0.2630892268098738
load,24,lstm,42,960.0975131033715,1211.4887219183745,20.529117619716935,0.20462115916540521,0.25819900917508426
load,24,lstm,123,1048.9006190814607,1343.676297597037,22.626815174507225,0.22354735596805073,0.28637153810415406
load,24,lstm,2020,1033.1520080746996,1348.0313966888834,22.275304959118976,0.220190927068415,0.2872997203067861
load,24,lstm,2025,1032.5745364222448,1335.7562143541745,22.266748352029214,0.22006785319592,0.28468356725564864
load,24,lstm,31415,957.6823070284289,1226.320520058715,20.49575405777659,0.20410641742309962,0.26136004197286117
load,24,mlp,42,325.0094699478728,418.67174886999044,7.003523137191176,0.06926777079705584,0.08922958073984832
load,24,mlp,123,309.7322000899327,402.14287331816155,6.76801796322353,0.0660117966646889,0.08570685765291558
load,24,mlp,2020,319.68855961211034,404.58654384651135,7.036837333691613,0.06813374969413724,0.08622766589302133
load,24,mlp,2025,314.0748371376991,398.412032860506,6.7837566437954635,0.06693732288928701,0.08491172081661749
load,24,mlp,31415,294.7316315336773,373.0601544659066,6.363484599607155,0.06281479460580466,0.07950859178719692
pv,1,gru,42,400.43860515880124,438.6446009755288,130.8386830393329,0.905388498207172,0.9917719505751041
pv,1,lstm,42,451.67459606456293,479.2604954685523,124.29634883412649,1.0212326657342459,1.083604164663944
pv,1,mlp,42,48.73192812440476,68.46631955875135,98.21687053312436,0.1101825015143022,0.15480180343373112
pv,24,gru,42,390.86309816457225,428.5487620965622,129.71148299915464,0.8837383531277805,0.9689453392468975
pv,24,gru,123,388.9248194966339,430.62342374619783,130.47180701686702,0.8793559204910077,0.9736361327194867
pv,24,gru,2020,364.1340105162726,387.7740968655866,119.04895189151256,0.8233040987562649,0.8767541457835872
pv,24,gru,2025,349.94201802124724,375.3208977223008,121.34626331592615,0.7912161167133176,0.8485975616656721
pv,24,gru,31415,403.7927818913391,430.9106069496898,124.54231662179342,0.9129722650954559,0.9742854516561981
pv,24,lstm,42,445.75726002264713,473.45660721617355,123.83890698757482,1.0078536160538267,1.0704816195324638
pv,24,lstm,123,405.21311716411424,439.1300835607144,128.59528696513422,0.9161836318393257,0.9928696228350817
pv,24,lstm,2020,457.7686780984851,497.63262448768654,135.8926398612502,1.0350113366954437,1.1251434021081108
pv,24,lstm,2025,366.6378028512577,405.87125875231806,127.2278425491001,0.8289651532919428,0.9176716847305179
pv,24,lstm,31415,446.51547621989596,477.684127312254,128.88070442493856,1.0095679368393344,1.0800400088126707
pv,24,mlp,42,63.019248270642926,96.60044166208914,98.58892079289924,0.14248601861769888,0.21841282952202923
pv,24,mlp,123,63.75951409984903,100.36465079112466,99.32135202511977,0.14415975376397233,0.2269236763943573
pv,24,mlp,2020,56.344097991842,87.6822661922309,97.65726670398669,0.1273935569809542,0.19824890578595253
pv,24,mlp,2025,56.01513039754785,88.62233333430585,97.94799352293344,0.12664976386930182,0.20037439010992178
pv,24,mlp,31415,54.91898488445558,83.50260534863708,98.01508590427044,0.12417138759106669,0.18879872589459057
wind,1,gru,42,462.823608285563,541.4571024058062,100.73353179283028,0.8919264323991213,1.0434642766710414
wind,1,lstm,42,564.9410135969448,627.3589158299259,105.6860750253219,1.0887210888831063,1.2090091983482356
wind,1,mlp,42,95.55222636651301,137.6394616562048,47.62180952245065,0.18414262981652585,0.26525067389520157
wind,24,gru,42,506.238669249401,594.8731234438378,105.08399626011787,0.9755933840079818,1.146404490230787
wind,24,gru,123,525.112090022322,616.5582989218552,106.84739413512285,1.0119651302970614,1.1881948847867259
wind,24,gru,2020,596.6525504757241,673.2530446350399,109.0526588813245,1.1498336973322658,1.2974536636702265
wind,24,gru,2025,555.1025183410461,641.1207478419246,107.84556772742312,1.0697609195730846,1.2355301914652608
wind,24,gru,31415,535.4948877670914,609.9389157315276,105.52098395972189,1.03197424734517,1.1754383988859702
wind,24,lstm,42,591.6370075281116,660.1958534630826,107.9445764612117,1.1401680380017494,1.2722906129297993
wind,24,lstm,123,553.4510380712684,626.5391034063922,107.0876929303631,1.0665782839451037,1.2074293040708726
wind,24,lstm,2020,540.2820975418828,628.7464792170331,106.66421634516217,1.0411998764166701,1.211683228884782
wind,24,lstm,2025,551.343270757924,637.771769640056,107.71225582577796,1.0625163187677378,1.2290762376774667
wind,24,lstm,31415,564.1012294290146,637.9328372196401,106.95766638408749,1.0871027062347753,1.229386637642079
wind,24,mlp,42,470.93347706771704,589.3974054805248,100.98797440174692,0.9075552944549838,1.1358520086796986
wind,24,mlp,123,488.2273671385171,604.9833003280271,101.86240841667706,0.9408830620904544,1.165888228393243
wind,24,mlp,2020,532.1887055673461,629.5799106681982,104.83095332881872,1.0256027674952035,1.2132893689510602
wind,24,mlp,2025,455.05426377651196,584.6491629867506,99.39192679655898,0.8769538086911233,1.1267014750599338
wind,24,mlp,31415,507.71436369476686,609.6589181840781,104.20878090221862,0.9784372555357156,1.1748988040833148
