target,fold,runs,mean_MAE,std_MAE,min_MAE,max_MAE,mean_RMSE,std_RMSE,mean_sMAPE,mean_nMAE,mean_nRMSE,fold_training_seconds
load,F05,5,327.46166800000003,28.319634457691542,282.82898,355.28003,405.54794983287337,31.284095377148567,7.22785526,0.0702381334,0.08698707185636023,10.368587000004482
load,F06,5,313.00554,33.90628278512627,278.7924,348.2689,356.80033850493805,30.459078701218672,8.01848416,0.0809454242,0.09227106696842478,10.732005699945148
wind,F05,5,509.08004800000003,23.575496433360016,483.3965,546.4482,631.9090333006948,26.429118245353465,109.771564,0.907078812,1.1259354393103913,6.892822200083174
wind,F06,5,535.144374,19.091456884750325,519.1777,564.63873,679.5217421655082,11.468471691589544,89.3029,0.759330352,0.9641911878507841,7.20447310002055
pv,F05,5,46.764739999999996,6.346340027710419,38.67594,54.825565,66.35264357650584,9.67858277714119,101.469613,0.105699021,0.14997216583012307,6.322481899987906
pv,F06,5,64.45633000000001,7.93754405659383,53.39552,74.328636,100.01256073202745,3.545911302563773,114.708986,0.167201308,0.2594350506588907,9.268926899996586
