Target,Scenario,Severity,Seed,Onset,Relevant Detector,Detected?,Detection Delay Hours,Pre-Onset Alert?,Maximum Severity,Primary Trigger
pv,D04,LOW,42,504,DATA_QUALITY,True,0,False,CRITICAL,PREDICTION_DRIFT
pv,D04,MEDIUM,42,504,DATA_QUALITY,True,0,False,CRITICAL,PREDICTION_DRIFT
pv,D04,HIGH,42,504,DATA_QUALITY,True,0,False,CRITICAL,PREDICTION_DRIFT
pv,D05,LOW,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT
pv,D05,MEDIUM,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT
pv,D05,HIGH,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT
pv,D06,LOW,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT
pv,D06,MEDIUM,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT
pv,D06,HIGH,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT
pv,D07,LOW,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT
pv,D07,MEDIUM,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT
pv,D07,HIGH,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT
pv,D08,LOW,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT
pv,D08,MEDIUM,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT
pv,D08,HIGH,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT
pv,D09,LOW,42,504,DATA_QUALITY,True,0,False,CRITICAL,PREDICTION_DRIFT
