Target,Model,Features,MAE,RMSE,sMAPE,nMAE,nRMSE
load,random_forest,B_lags_only,174.25681766080925,231.2707672558446,4.716616398112372,0.04735488297730689,0.06284861772691251
load,mlp,B_lags_only,281.00082079372083,343.3594528816875,7.777090329737031,0.07636292894499791,0.09330909934332678
load,RTS_DAY_AHEAD,B_lags_only,101.14234287341759,101.84536371689018,2.716774332355368,0.027485775736730486,0.02767682404244472
wind,hist_gradient_boosting,B_lags_only,778.8412887248792,923.3732472043888,92.39736347788356,0.6789696191869805,0.804968086692272
wind,mlp,B_lags_only,838.400689744515,957.930055019927,96.13051127521403,0.7308916531298826,0.8350936372794108
wind,RTS_DAY_AHEAD,B_lags_only,331.30216302367944,491.208264741478,50.91575566377123,0.28881892462620923,0.4282200921821327
pv,random_forest,B_lags_only,36.1217634355897,82.07888348246736,117.73465533954827,0.10817435038655554,0.24580278083604423
pv,mlp,B_lags_only,221.6398504361429,249.2717139933507,135.46796741480225,0.6637479613489882,0.746497489776658
pv,H24_DAILY_PERSISTENCE,B_lags_only,39.0949852003643,100.6924076197019,7.862540615997038,0.11707829920769121,0.30154496201554803
