Target,Scenario,Severity,Seed,Onset,Relevant Detector,Detected?,Detection Delay Hours,Pre-Onset Alert?,Maximum Severity,Primary Trigger,feature_stat,prediction_stat,performance_stat
wind,D05,LOW,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT,0.02941317207499735,0.34750013100216515,1.9499433055435023
wind,D05,MEDIUM,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT,0.02941317207499735,0.6948208557210963,4.933788371769774
wind,D05,HIGH,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT,0.02941317207499735,1.389462305158959,10.906615435454935
wind,D06,LOW,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT,0.02941317207499735,0.3448315909455473,1.9270890987266858
wind,D06,MEDIUM,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT,0.02941317207499735,0.6894837756078606,4.887897852902539
wind,D06,HIGH,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT,0.02941317207499735,1.3787881449324872,10.81483439772047
wind,D07,LOW,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT,0.15638918114118824,0.3448315909455473,1.9270890987266858
wind,D07,MEDIUM,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT,0.30342129668128875,0.6894837756078606,4.887897852902539
wind,D07,HIGH,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT,0.6022107123628214,1.3787881449324872,10.81483439772047
wind,D08,LOW,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT,0.4365623138623196,0.6921523156644784,4.910843112336157
wind,D08,MEDIUM,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT,1.083366201801287,1.384125225045723,10.860724916587701
wind,D08,HIGH,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT,2.9363753312112943,2.768071043808212,22.760488525090793
wind,D09,LOW,42,504,DATA_QUALITY,True,0,False,CRITICAL,PERFORMANCE_DRIFT,nan,0.05788319400343612,0.06741088234964844
pv,D00,LOW,42,504,CONTROL,False,NOT_DETECTED,False,WARNING,PREDICTION_DRIFT,0.02341464786658855,0.05965849820601109,0.07679101691228112
pv,D01,LOW,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,0.3525386282437662,0.05965849820601109,0.07679101691228112
pv,D01,MEDIUM,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,0.7161692337324914,0.05965849820601109,0.07679101691228112
pv,D01,HIGH,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,1.4435836863757217,0.05965849820601109,0.07679101691228112
pv,D02,LOW,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,0.3525386282437662,0.05965849820601109,0.07679101691228112
pv,D02,MEDIUM,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,0.7161692337324914,0.05965849820601109,0.07679101691228112
pv,D02,HIGH,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,1.4435836863757217,0.05965849820601109,0.07679101691228112
pv,D03,LOW,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,0.4430838585713279,0.05965849820601109,0.07679101691228112
pv,D03,MEDIUM,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,1.0790749971319773,0.05965849820601109,0.07679101691228112
pv,D03,HIGH,42,504,FEATURE,True,0,False,CRITICAL,FEATURE_DRIFT,2.8968096658179237,0.05965849820601109,0.07679101691228112
pv,D04,LOW,42,504,DATA_QUALITY,True,0,False,CRITICAL,PREDICTION_DRIFT,nan,0.05965849820601109,0.07679101691228112
pv,D04,MEDIUM,42,504,DATA_QUALITY,True,0,False,CRITICAL,PREDICTION_DRIFT,nan,0.05965849820601109,0.07679101691228112
pv,D04,HIGH,42,504,DATA_QUALITY,True,0,False,CRITICAL,PREDICTION_DRIFT,nan,0.05965849820601109,0.07679101691228112
pv,D05,LOW,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT,0.02341464786658855,0.42184421948325446,1.9662954078016912
pv,D05,MEDIUM,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT,0.02341464786658855,0.7991211667979177,4.782163045539278
pv,D05,HIGH,42,504,PREDICTION,True,0,False,WARNING,PREDICTION_DRIFT,0.02341464786658855,1.553675061427244,10.416922802957076
pv,D06,LOW,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT,0.02341464786658855,0.41779026622680315,1.9361419544891407
pv,D06,MEDIUM,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT,0.02341464786658855,0.791013260285015,4.721615872353918
pv,D06,HIGH,42,504,PERFORMANCE,True,0,False,WARNING,PREDICTION_DRIFT,0.02341464786658855,1.5374592484014389,10.295828456586356
pv,D07,LOW,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT,0.14672320920751855,0.41779026622680315,1.9361419544891407
pv,D07,MEDIUM,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT,0.29356188455364346,0.791013260285015,4.721615872353918
pv,D07,HIGH,42,504,PERFORMANCE,True,0,False,CRITICAL,FEATURE_DRIFT,0.5872754597333962,1.5374592484014389,10.295828456586356
pv,D08,LOW,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT,0.4430838585713279,0.7950672135414664,4.751889458946598
pv,D08,MEDIUM,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT,1.0790749971319773,1.5455671549143415,10.356375629771716
pv,D08,HIGH,42,504,MULTI,True,0,False,CRITICAL,FEATURE_DRIFT,2.8968096658179237,3.0465670376600915,21.565347971421946
pv,D09,LOW,42,504,DATA_QUALITY,True,0,False,CRITICAL,PREDICTION_DRIFT,nan,0.05965849820601109,0.07679101691228112
